Complete NA Playstation Plus Master List by u/ABattleVet,913,Try restoring licenses to get DLC to unlock,,,Game Pass,,,,,,,,,,
Game,System,Tier,Status,Added,Removed,Months,Release,Age,Metacritic,User,Completion,Genre,Notes / Original System,PC Streaming,Local Multiplayer
Samurai Warriors 5,PS4,Extra,Active,Jul 2023,,0.53,Jul 2021,1.98,75,8.0,18,Action,,,
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,PS4,Extra,Active,Jul 2023,,0.53,Jun 2020,3.07,68,8.9,9,Platformer,,,
Undertale,PS4,Extra,Active,Jul 2023,,0.53,Aug 2017,5.93,92,7.3,7,RPG,,,
Gravity Crash Portable,PS5/PS4,Premium (Classics),Active,Jul 2023,,0.53,Jul 2010,13.00,69,,8,Action,PSP,,
Twisted Metal,PS5/PS4,Premium (Classics),Active,Jul 2023,,0.53,Nov 1995,27.72,,,5,Racing,PS1,,
Twisted Metal 2,PS5/PS4,Premium (Classics),Active,Jul 2023,,0.53,Nov 1997,25.65,,8.6,5,Racing,PS1,,
Alan Wake: Remastered,PS5/PS4,Essential,Removed,Jul 2023,Jul 2023,0.89,Oct 2021,1.75,79,8.0,10,Action,,No,
Call of Duty: Black Ops Cold War,PS5/PS4,Essential,Removed,Jul 2023,Jul 2023,0.89,Nov 2020,2.64,76,4.1,6,Shooter,,No,
Endling: Extinction is Forever,PS5/PS4,Essential,Removed,Jul 2023,Jul 2023,0.89,Jul 2022,0.96,82,8.3,4,Adventure,,No,
Soulstice,PS5,Extra,Active,Jun 2023,,1.45,Sep 2022,0.75,72,5.1,18,RPG,,No,
DC League of Super-Pets: The Adventures of Krypto and Ace,PS5/PS4,Extra,Active,Jun 2023,,1.45,Jul 2022,0.93,60,3.5,3,Adventure,,Yes,
ELEX II,PS5/PS4,Extra,Active,Jun 2023,,1.45,Mar 2022,1.30,70,6.2,36,RPG,,Yes,
Hundred Days: Winemaking Simulator,PS5/PS4,Extra,Active,Jun 2023,,1.45,May 2021,2.10,74,6.3,3,Strategy,,Yes,
Inscryption,PS5/PS4,Extra,Active,Jun 2023,,1.45,Aug 2022,0.81,87,8.5,13,Strategy,,Yes,
MX vs. ATV Legends,PS5/PS4,Extra,Active,Jun 2023,,1.45,Jun 2022,0.98,55,4.3,14,Racing,,No,
My Friend Peppa Pig,PS5/PS4,Extra,Active,Jun 2023,,1.45,Oct 2021,1.66,80,8.7,1,Adventure,,Yes,
PAW Patrol Mighty Pups Save Adventure Bay,PS5/PS4,Extra,Active,Jun 2023,,1.45,Nov 2020,2.62,60,7.0,3,Adventure,,Yes,
Redout II,PS5/PS4,Extra,Active,Jun 2023,,1.45,Jun 2022,1.01,66,5.0,33,Racing,,Yes,
Rogue Legacy 2,PS5/PS4,Extra,Active,Jun 2023,,1.45,Nov 2022,0.61,87,8.1,27,RPG,,Yes,
Teenage Mutant Ninja Turtles: Shredder's Revenge,PS5/PS4,Extra,Active,Jun 2023,,1.45,Jun 2022,1.01,85,8.5,3,Action,,Yes,
A Hat in Time,PS4,Extra,Active,Jun 2023,,1.45,Dec 2017,5.54,79,8.2,10,Action,,Yes,
Carto,PS4,Extra,Active,Jun 2023,,1.45,Oct 2020,2.65,75,6.9,6,Adventure,,Yes,
Deus Ex: Mankind Divided,PS4,Extra,Active,Jun 2023,,1.45,Aug 2016,6.83,84,7.9,26,Action,,Yes,
Dodgeball Academia,PS4,Extra,Active,Jun 2023,,1.45,Aug 2021,1.87,81,8.0,10,Sports,,Yes,
Forager,PS4,Extra,Active,Jun 2023,,1.45,Jul 2019,3.89,72,5.8,15,Adventure,,Yes,
Killing Floor 2,PS4,Extra,Active,Jun 2023,,1.45,Nov 2016,6.59,75,7.1,14,Shooter,,Yes,
Lonely Mountains: Downhill,PS4,Extra,Active,Jun 2023,,1.45,Oct 2019,3.66,80,5.5,6,Sports,,Yes,
Tacoma,PS4,Extra,Active,Jun 2023,,1.45,May 2018,5.12,79,5.8,3,Adventure,,Yes,
The Talos Principle: Deluxe Edition,PS4,Extra,Active,Jun 2023,,1.45,Oct 2015,7.69,88,8.2,16,Adventure,,Yes,
The Wild at Heart,PS4,Extra,Active,Jun 2023,,1.45,Nov 2021,1.59,75,8.0,11,Adventure,,Yes,
Thief (2014),PS4,Extra,Active,Jun 2023,,1.45,Feb 2014,9.32,67,6.4,11,Action,,Yes,
Vampire: The Masquerade - Coteries of New York,PS4,Extra,Active,Jun 2023,,1.45,Mar 2020,3.24,72,7.3,6,RPG,,Yes,
Far Cry 6,PS5/PS4,Extra (Ubisoft+ Classics),Active,Jun 2023,,1.45,Oct 2021,1.70,73,4.9,23,Shooter,,Yes,
Killzone: Liberation,PS5/PS4,Premium (Classics),Active,Jun 2023,,1.45,Oct 2006,16.65,77,7.9,8,Shooter,PSP,Yes,
Herc's Adventures,PS5/PS4,Premium (Classics),Active,Jun 2023,,1.45,Jul 1997,25.90,78,7.8,13,Action,PS1,Yes,
Worms,PS5/PS4,Premium (Classics),Active,Jun 2023,,1.45,Oct 1995,27.65,76,8.2,4,Strategy,PS1,Yes,
Jurassic World Evolution 2,PS5/PS4,Essential,Removed,Jun 2023,Jul 2023,0.89,Nov 2021,1.57,78,7.0,6,Strategy,,No,
NBA 2K23,PS5/PS4,Essential,Removed,Jun 2023,Jul 2023,0.89,Sep 2022,0.74,78,4.5,25,Sports,,No,
Trek to Yomi,PS5/PS4,Essential,Removed,Jun 2023,Jul 2023,0.89,May 2022,1.09,69,6.9,5,Action,,No,
Ratchet & Clank: Rift Apart,PS5,Extra,Active,May 2023,,2.60,Jun 2021,1.93,88,8.5,11,Platformer,,No,
Thymesia,PS5,Extra,Active,May 2023,,2.60,Aug 2022,0.74,68,7.5,7,RPG,,No,
Bus Simulator 21: Next Stop,PS5/PS4,Extra,Active,May 2023,,2.60,Sep 2021,1.69,60,4.5,26,Simulation,,Yes,
Humanity,PS5/PS4,Extra,Active,May 2023,,2.60,May 2023,0.00,86,8.9,12,Action,,Yes,
Lake,PS5/PS4,Extra,Active,May 2023,,2.60,Apr 2022,1.10,77,7.5,6,Adventure,,Yes,
Conan Exiles,PS4,Extra,Active,May 2023,,2.60,May 2018,5.02,68,5.2,33,Action,,Yes,
Dishonored 2,PS4,Extra,Active,May 2023,,2.60,Nov 2016,6.52,88,8.5,13,Shooter,,Yes,
Dishonored: Death of the Outsider,PS4,Extra,Active,May 2023,,2.60,Sep 2017,5.67,82,8.0,7,Shooter,,Yes,
Rain World,PS4,Extra,Active,May 2023,,2.60,Mar 2017,6.14,59,7.2,22,Platformer,,Yes,
Rise of the Tomb Raider: 20 Year Celebration,PS4,Extra,Active,May 2023,,2.60,Oct 2016,6.60,88,8.0,15,Adventure,,Yes,
Rune Factory 4: Special,PS4,Extra,Active,May 2023,,2.60,Dec 2021,1.44,74,,39,RPG,,Yes,
Sakuna: Of Rice and Ruin,PS4,Extra,Active,May 2023,,2.60,Nov 2020,2.51,77,7.7,30,RPG,,Yes,
Shadow of the Tomb Raider,PS4,Extra,Active,May 2023,,2.60,Nov 2016,6.52,75,7.5,13,Adventure,,Yes,
Story of Seasons: Friends of Mineral Town,PS4,Extra,Active,May 2023,,2.60,Sep 2017,5.67,72,7.4,30,Strategy,,Yes,
The Evil Within 2,PS4,Extra,Active,May 2023,,2.60,Mar 2017,6.14,76,8.5,14,Shooter,,Yes,
Tomb Raider: Definitive Edition,PS4,Extra,Active,May 2023,,2.60,Jan 2014,9.30,85,8.1,12,Adventure,,Yes,
Wolfenstein: Youngblood,PS4,Extra,Active,May 2023,,2.60,Jul 2019,3.81,63,3.0,9,Shooter,,Yes,
Watch Dogs: Legion,PS5/PS4,Extra (Ubisoft+ Classics),Active,May 2023,,2.60,Oct 2020,2.55,70,5.5,18,Adventure,,Yes,
Blade Dancer: Lineage of Light,PS5/PS4,Premium (Classics),Active,May 2023,,2.60,Jul 2006,16.88,60,6.5,28,RPG,PSP,Yes,
Syphon Filter: Logan's Shadow,PS5/PS4,Premium (Classics),Active,May 2023,,2.60,Oct 2007,15.63,85,8.0,10,Shooter,PSP,Yes,
Pursuit Force,PS5/PS4,Premium (Classics),Active,May 2023,,2.60,Mar 2006,17.20,75,7.3,9,Racing,PSP,Yes,
Ghostbusters: The Video Game - Remastered,PS4,Premium (Remasters),Active,May 2023,,2.60,Oct 2019,3.62,66,7.1,8,Action,PS2,Yes,
Chivalry II,PS5/PS4,Essential,Removed,May 2023,Jun 2023,1.12,Jun 2021,1.90,66,4.7,45,Action,,No,
GRID: Legends,PS5/PS4,Essential,Removed,May 2023,Jun 2023,1.12,Feb 2022,1.18,77,5.9,6,Racing,,No,
Descenders,PS4,Essential,Removed,May 2023,Jun 2023,1.12,Aug 2020,2.68,75,5.0,5,Racing,,No,
Riders Republic,PS5/PS4,Extra (Ubisoft+ Classics),Active,Apr 2023,,3.52,Oct 2021,1.47,76,5.9,19,Sports,,Yes,
Bassmaster Fishing,PS5/PS4,Extra,Active,Apr 2023,,3.52,Oct 2021,1.47,,4.0,,Sports,,No,
DOOM: Eternal,PS5/PS4,Extra,Active,Apr 2023,,3.52,Mar 2020,3.08,87,8.9,15,Shooter,,No,
Kena: Bridge of Spirits,PS5/PS4,Extra,Active,Apr 2023,,3.52,Sep 2021,1.57,76,8.0,10,Adventure,,Yes,
Monster Boy and the Cursed Kingdom,PS5/PS4,Extra,Active,Apr 2023,,3.52,Dec 2018,4.37,87,8.0,19,Platformer,,Yes,
Paradise Killer,PS5/PS4,Extra,Active,Apr 2023,,3.52,Mar 2022,1.09,89,7.0,12,Adventure,,Yes,
Sackboy: A Big Adventure,PS5/PS4,Extra,Active,Apr 2023,,3.52,Nov 2020,2.43,83,7.8,11,Platformer,,Yes,
Slay the Spire,PS4,Extra,Active,Apr 2023,,3.52,May 2019,3.91,88,7.2,12,Strategy,,Yes,
The Evil Within,PS4,Extra,Active,Apr 2023,,3.52,Oct 2017,5.52,76,8.5,16,Shooter,,Yes,
Wolfenstein II: The New Colossus,PS4,Extra,Active,Apr 2023,,3.52,Oct 2017,5.48,87,7.5,11,Shooter,,Yes,
Wolfenstein: The Old Blood,PS4,Extra,Active,Apr 2023,,3.52,May 2015,7.96,76,8.1,6,Shooter,,Yes,
Dishonored: Definitive Edition,PS4,Premium (Classics),Active,Apr 2023,,3.52,Aug 2015,7.65,80,8.3,13,Shooter,,Yes,
DOOM,PS4,Premium (Classics),Active,Apr 2023,,3.52,Dec 1993,29.37,83,8.1,5,Shooter,PS1,Yes,
DOOM II: Hell on Earth,PS4,Premium (Classics),Active,Apr 2023,,3.52,Sep 1994,28.57,83,8.9,7,Shooter,PS1,Yes,
DOOM 64,PS4,Premium (Classics),Active,Apr 2023,,3.52,Mar 1997,26.07,75,7.1,7,Shooter,,Yes,
DOOM 3,PS4,Premium (Classics),Active,Apr 2023,,3.52,Aug 2004,18.72,87,7.7,11,Shooter,,Yes,
Anodyne,PS4,Extra,Active,Apr 2023,,3.85,Feb 2013,10.18,,,,Adventure,,Yes,
Meet Your Maker,PS5/PS4,Essential,Removed,Apr 2023,May 2023,0.89,Apr 2023,0.00,73,5.5,11,Shooter,,No,
Sackboy: A Big Adventure,PS5/PS4,Essential,Removed,Apr 2023,May 2023,0.89,Nov 2020,2.39,83,7.8,11,Platformer,,No,Yes
Tails of Iron,PS5/PS4,Essential,Removed,Apr 2023,May 2023,0.89,Nov 2021,1.38,81,7.1,7,RPG,,No,
Ghostwire: Tokyo,PS5,Extra,Active,Mar 2023,,4.44,Mar 2022,1.00,75,8.6,11,Action,,No,
UNCHARTED: Legacy of Thieves Collection,PS5,Extra,Active,Mar 2023,,4.44,Jan 2022,1.14,87,8.7,21,Action,,No,
Dragon Ball Z: Kakarot,PS5/PS4,Extra,Active,Mar 2023,,4.44,Jan 2020,3.18,73,7.9,30,Action,,Yes,
Final Fantasy Type-0 HD,PS5/PS4,Extra,Active,Mar 2023,,4.44,Oct 2011,11.41,72,7.5,24,RPG,,Yes,
Haven,PS5/PS4,Extra,Active,Mar 2023,,4.44,Dec 2020,2.30,78,7.5,11,Adventure,,Yes,
Immortals Fenyx Rising,PS5/PS4,Extra,Active,Mar 2023,,4.44,Dec 2020,2.30,77,7.6,25,Adventure,,Yes,
Life Is Strange 2,PS5/PS4,Extra,Active,Mar 2023,,4.44,Sep 2021,1.55,78,6.6,10,Adventure,,No,
Life Is Strange: True Colors,PS5/PS4,Extra,Active,Mar 2023,,4.44,Sep 2018,4.55,81,6.9,16,Adventure,,Yes,
NEO: The World Ends with You,PS5/PS4,Extra,Active,Mar 2023,,4.44,Sep 2018,4.55,80,8.2,41,RPG,,Yes,
RAGE 2,PS5/PS4,Extra,Active,Mar 2023,,4.44,May 2019,3.85,67,6.1,11,Shooter,,Yes,
Street Fighter V: Champion Edition,PS5/PS4,Extra,Active,Mar 2023,,4.44,Feb 2016,7.10,82,6.0,3,Fighting,,Yes,
Tchia,PS5/PS4,Extra,Active,Mar 2023,,4.44,Mar 2023,0.00,77,7.3,7,Adventure,,Yes,
Tom Clancy's Rainbow Six: Extraction,PS5/PS4,Extra,Active,Mar 2023,,4.44,Jan 2022,1.16,73,5.2,10,Shooter,,Yes,
Untitled Goose Game,PS5/PS4,Extra,Active,Mar 2023,,4.44,Sep 2019,3.55,80,7.1,3,Action,,Yes,
R4: Ridge Racer Type 4,PS5/PS4,Premium (Classics),Active,Mar 2023,,4.44,May 1999,23.90,88,8.7,2,Racing,PS1,Yes,
Ape Academy 2,PS5/PS4,Premium (Classics),Active,Mar 2023,,4.44,Nov 2005,17.36,,,4,Party,PSP,Yes,
Syphon Filter: Dark Mirror,PS5/PS4,Premium (Classics),Active,Mar 2023,,4.44,Mar 2006,17.03,87,8.5,7,Shooter,PSP,Yes,
Battlefield 2042,PS5/PS4,Essential,Removed,Mar 2023,Apr 2023,0.89,Nov 2021,1.32,63,2.6,65,Shooter,,Yes,
Minecraft: Dungeons,PS4,Essential,Removed,Mar 2023,Apr 2023,0.89,May 2020,2.78,78,6.2,6,RPG,,No,
Code Vein,PS4,Essential,Removed,Mar 2023,Apr 2023,0.89,Sep 2019,3.44,70,7.8,26,RPG,,No,
Borderlands 3,PS5/PS4,Extra,Leaving Soon,Feb 2023,Aug 2023,5.72,Sep 2019,3.44,78,6.1,23,Shooter,,Yes,
Horizon: Forbidden West,PS5/PS4,Extra,Active,Feb 2023,,5.36,Feb 2022,1.01,88,8.0,29,Action,,Yes,
Outriders,PS5/PS4,Extra,Active,Feb 2023,,5.36,Apr 2021,1.89,72,4.8,16,Shooter,,Yes,
Scarlet Nexus,PS5/PS4,Extra,Active,Feb 2023,,5.36,Jun 2021,1.66,80,8.0,25,Action,,Yes,
The Forgotten City,PS5/PS4,Extra,Active,Feb 2023,,5.36,Jul 2021,1.57,85,8.2,6,Adventure,,Yes,
The Quarry,PS5/PS4,Extra,Active,Feb 2023,,5.36,Jun 2022,0.70,74,7.0,9,Adventure,,Yes,
Ace Combat 7: Skies Unknown,PS4,Extra,Active,Feb 2023,,5.36,Jan 2019,4.10,80,8.0,12,Simulation,,Yes,
Earth Defense Force 5,PS4,Extra,Active,Feb 2023,,5.36,Dec 2018,4.20,72,7.5,28,Shooter,,Yes,
I am Setsuna,PS4,Extra,Active,Feb 2023,,5.36,Jul 2016,6.60,74,7.4,21,RPG,,Yes,
Lost Sphear,PS4,Extra,Active,Feb 2023,,5.36,Jan 2018,5.08,68,6.9,26,RPG,,Yes,
Oninaki,PS4,Extra,Active,Feb 2023,,5.36,Aug 2019,3.50,69,5.8,20,RPG,,Yes,
Resident Evil 7: Biohazard,PS4,Extra,Active,Feb 2023,,5.36,Jan 2017,6.08,86,8.1,10,Shooter,,Yes,
Tekken 7,PS4,Extra,Active,Feb 2023,,5.36,Jun 2017,5.73,82,6.5,4,Fighting,,Yes,
Destroy All Humans! (2020),PS5/PS4,Premium (Classics),Active,Feb 2023,,5.36,Jul 2020,2.57,70,8.0,8,Action,Remake of PS1 game,Yes,
Harvest Moon: Back to Nature,PS5/PS4,Premium (Classics),Active,Feb 2023,,5.36,Nov 2000,22.26,82,8.8,86,Strategy,PS1,Yes,
The Legend of Dragoon,PS5/PS4,Premium (Classics),Active,Feb 2023,,5.36,Jun 2000,22.71,74,8.8,49,RPG,PS1,Yes,
Wild Arms 2,PS5/PS4,Premium (Classics),Active,Feb 2023,,5.36,Sep 1999,23.49,,,43,RPG,PS1,Yes,
Back 4 Blood,PS5/PS4,Extra,Active,Jan 2023,,6.51,Oct 2021,1.28,75,3.7,12,Shooter,,Yes,
Destiny 2: Beyond Light,PS5/PS4,Essential,Removed,Feb 2023,Mar 2023,0.89,Nov 2020,2.24,76,3.9,6,Shooter,,No,
Evil Dead: The Game,PS5/PS4,Essential,Removed,Feb 2023,Mar 2023,0.89,May 2022,0.74,72,7.5,4,Action,,No,
OlliOlli World,PS5/PS4,Essential,Removed,Feb 2023,Mar 2023,0.89,Feb 2022,1.00,86,7.8,6,Platformer,,No,
Mafia: Definitive Edition,PS4,Essential,Removed,Feb 2023,Mar 2023,0.89,Sep 2020,2.37,76,7.0,11,Shooter,,No,
Devil May Cry 5: Special Edition,PS5/PS4,Extra,Active,Jan 2023,,6.51,Mar 2019,3.87,88,8.4,11,Action,PS4 gets the base version,Yes,
JETT: The Far Shore,PS5/PS4,Extra,Active,Jan 2023,,6.51,Oct 2021,1.28,61,3.8,9,Action,,Yes,
Dragon Ball FighterZ,PS4,Extra,Active,Jan 2023,,6.51,Jan 2018,4.98,87,7.0,12,Fighting,,Yes,
Erica,PS4,Extra,Active,Jan 2023,,6.51,Aug 2019,3.42,69,6.8,2,Adventure,,Yes,
Life is Strange,PS4,Extra,Active,Jan 2023,,6.51,Oct 2015,7.25,85,8.6,14,Action,,Yes,
Life is Strange: Before the Storm,PS4,Extra,Active,Jan 2023,,6.51,Aug 2017,5.38,77,8.0,10,Action,,No,
Just Cause 4: Reloaded,PS4,Extra,Active,Jan 2023,,6.51,Dec 2018,4.12,65,4.7,16,Shooter,PS4 gets the base version,Yes,
OMNO,PS4,Extra,Active,Jan 2023,,6.51,Jul 2021,1.47,82,6.7,4,Adventure,,Yes,
Hot Shots Golf 2,PS5/PS4,Premium (Classics),Active,Jan 2023,,6.51,Mar 2000,22.88,,,17,Sports,PS1,Yes,
Star Wars Demolition,PS5/PS4,Premium (Classics),Active,Jan 2023,,6.51,Nov 2000,22.19,63,7.1,20,Action,PS1,Yes,
Syphon Filter 3,PS5/PS4,Premium (Classics),Active,Jan 2023,,6.51,Nov 2001,21.21,73,8.6,8,Shooter,PS1,Yes,
Axiom Verge 2,PS5/PS4,Essential,Removed,Jan 2023,Feb 2023,1.12,Aug 2021,1.40,75,5.7,9,Platformer,,No,
Star Wars Jedi: Fallen Order,PS5/PS4,Essential,Removed,Jan 2023,Feb 2023,1.12,Nov 2019,3.14,79,7.6,17,Action,,No,
Fallout 76,PS4,Essential,Removed,Jan 2023,Feb 2023,1.12,Nov 2018,4.14,53,2.8,33,Shooter,,No,
WWE 2K22,PS4,Extra,Removed,Jan 2023,Mar 2023,2.27,Mar 2022,0.82,76,6.1,4,Fighting,,Yes,
Far Cry 5,PS4,Extra (Ubisoft+ Classics),Active,Dec 2022,,7.43,Mar 2018,4.74,81,6.9,18,Shooter,,No,
Far Cry: New Dawn,PS4,Extra (Ubisoft+ Classics),Active,Dec 2022,,7.43,Feb 2019,3.85,71,4.6,11,Shooter,,Yes,
Far Cry: Primal,PS4,Extra (Ubisoft+ Classics),Active,Dec 2022,,7.43,Feb 2016,6.83,76,6.7,15,Shooter,,Yes,
Ben 10: Power Trip,PS5/PS4,Extra,Active,Dec 2022,,7.43,Oct 2020,2.20,70,5.2,4,Action,,Yes,
Evil Genius 2: World Domination,PS5/PS4,Extra,Active,Dec 2022,,7.43,Nov 2021,1.05,78,5.1,27,Strategy,,Yes,
Judgment,PS5/PS4,Extra,Active,Dec 2022,,7.43,Jun 2019,3.50,80,8.5,28,RPG,,Yes,
The Pedestrian,PS5/PS4,Extra,Active,Dec 2022,,7.43,Jan 2021,1.89,80,7.5,4,Puzzle,,Yes,
Yakuza: Like a Dragon,PS5/PS4,Extra,Active,Dec 2022,,7.43,Nov 2020,2.11,84,8.1,46,RPG,,Yes,
Adventure Time: Pirates of the Enchiridion,PS4,Extra,Active,Dec 2022,,7.43,Jul 2018,4.43,62,6.3,6,RPG,,Yes,
Gigantosaurus: The Game,PS4,Extra,Active,Dec 2022,,7.43,Mar 2020,2.73,70,10.0,6,Action,,Yes,
Middle-Earth: Shadow of Mordor,PS4,Extra,Active,Dec 2022,,7.43,Sep 2014,8.23,84,8.0,16,RPG,,Yes,
Middle-Earth: Shadow of War,PS4,Extra,Active,Dec 2022,,7.43,Oct 2017,5.20,80,4.8,21,RPG,,Yes,
Pillars of Eternity II: Deadfire - Ultimate Edition,PS4,Extra,Active,Dec 2022,,7.43,Jan 2020,2.90,76,4.5,70,RPG,,Yes,
The Escapists 2,PS4,Extra,Active,Dec 2022,,7.43,Aug 2017,5.33,75,6.8,17,Action,,Yes,
Worms W.M.D,PS4,Extra,Active,Dec 2022,,7.43,Aug 2016,6.33,78,7.1,14,Strategy,,Yes,
Yakuza 6: The Song of Life,PS4,Extra,Active,Dec 2022,,7.43,Dec 2016,6.05,83,8.4,19,RPG,,Yes,
Heavenly Sword,PS5/PS4,Premium (Streaming Only),Active,Dec 2022,,7.43,Sep 2007,15.28,79,8.1,7,Action,PS3,Yes,
Oddworld: Abe's Exoddus,PS5/PS4,Premium (Classics),Active,Dec 2022,,7.43,Oct 1998,24.15,88,8.6,15,Action,PS1,Yes,
Pinball Heroes,PS5/PS4,Premium (Classics),Active,Dec 2022,,7.43,Nov 2009,13.11,,,,Action,PSP,Yes,
Ridge Racer 2,PS5/PS4,Premium (Classics),Active,Dec 2022,,7.43,Sep 2006,16.28,,,11,Racing,PSP,Yes,
Divine Knockout,PS5/PS4,Essential,Removed,Dec 2022,Jan 2023,0.89,Dec 2022,0.00,70,3.0,,Action,,No,
Biomutant,PS4,Essential,Removed,Dec 2022,Jan 2023,0.89,May 2021,1.53,64,6.7,13,RPG,,No,
Mass Effect: Legendary Edition,PS4,Essential,Removed,Dec 2022,Jan 2023,0.89,May 2021,1.56,87,6.5,105,Shooter,,No,
Ys VIII: Lacrimosa of DANA,PS5/PS4,Extra,Active,Nov 2022,,8.58,Jul 2016,6.32,85,8.6,37,RPG,,No,
Chorus,PS5/PS4,Extra,Active,Nov 2022,,8.58,Dec 2021,0.95,73,6.1,13,Action,,Yes,
Oddworld: Soulstorm: Enhanced Edition,PS5/PS4,Extra,Active,Nov 2022,,8.58,Apr 2021,1.61,80,5.5,19,Platformer,,Yes,
The Elder Scrolls V: Skyrim - Special Edition,PS5/PS4,Extra,Active,Nov 2022,,8.58,Nov 2021,1.01,81,7.6,26,RPG,,Yes,
The Gardens Between,PS5/PS4,Extra,Active,Nov 2022,,8.58,Sep 2018,4.16,75,6.1,3,Adventure,,Yes,
Earth Defense Force: Iron Rain,PS4,Extra,Active,Nov 2022,,8.58,Apr 2019,3.60,69,5.2,10,Shooter,,Yes,
Earth Defense Force: World Brothers,PS4,Extra,Active,Nov 2022,,8.58,Sep 2020,2.14,75,5.0,13,Shooter,,Yes,
Kingdom Hearts HD 1.5 + 2.5 ReMIX,PS4,Extra,Active,Nov 2022,,8.58,Mar 2017,5.69,84,8.9,144,RPG,,Yes,
Kingdom Hearts HD 2.8: Final Chapter Prologue,PS4,Extra,Active,Nov 2022,,8.58,Sep 2017,5.18,76,8.2,19,RPG,,Yes,
Kingdom Hearts III,PS4,Extra,Active,Nov 2022,,8.58,Jan 2019,3.81,83,8.0,29,RPG,,Yes,
Kingdom Hearts: Melody of Memory ,PS4,Extra,Active,Nov 2022,,8.58,Nov 2020,2.01,74,7.3,10,Music,,Yes,
Onee Chanbara Origin,PS4,Extra,Active,Nov 2022,,8.58,Dec 2019,2.95,69,7.8,5,Action,,Yes,
What Remains of Edith Finch,PS4,Extra,Active,Nov 2022,,8.58,Apr 2017,5.56,88,8.3,2,Adventure,,Yes,
Tom Clancy's Rainbow Six Siege,PS5/PS4,Extra (Ubisoft+ Classics),Active,Nov 2022,,8.58,Dec 2015,6.96,73,7.2,11,Shooter,,Yes,
Tom Clancy's The Division 2,PS4,Extra (Ubisoft+ Classics),Active,Nov 2022,,8.58,Mar 2019,3.67,82,6.2,27,Shooter,,Yes,
Tom Clancy's Ghost Recon: Breakpoint,PS4,Extra (Ubisoft+ Classics),Active,Nov 2022,,8.58,Oct 2019,3.12,56,3.0,24,Shooter,,Yes,
Ratchet & Clank,PS5/PS4,Premium (Streaming Only),Active,Nov 2022,,8.58,Nov 2002,20.04,88,8.8,12,Platformer,PS3,Yes,
Ratchet: Deadlocked,PS5/PS4,Premium (Streaming Only),Active,Nov 2022,,8.58,Oct 2005,17.07,81,8.8,8,Platformer,PS3,Yes,
Ratchet & Clank: Going Commando,PS5/PS4,Premium (Streaming Only),Active,Nov 2022,,8.58,Nov 2003,19.02,90,9.0,14,Platformer,PS3,Yes,
Ratchet & Clank: Tools of Destruction,PS5/PS4,Premium (Streaming Only),Active,Nov 2022,,8.58,Oct 2007,15.07,89,8.8,13,Platformer,PS3,Yes,
